DEALER_ID,DEALERNAME
DLR0001,AC Cars Motors
DLR0002,Acura Motors
DLR0003,Aixam-Mega (including Arola) Motors
DLR0004,Alfa Romeo Motors
DLR0005,Alpine Motors
DLR0006,Alvis Motors
DLR0007,"AMC, Eagle Motors"
DLR0008,Anadol Motors
DLR0009,Ariel Motors
DLR0010,ARO Motors
DLR0011,Artega Motors
DLR0012,Asia Motors Motors
DLR0013,Aston Martin Motors
DLR0014,Audi Motors
DLR0015,Autobianchi Motors
DLR0016,Auto-Union Motors
DLR0017,Auverland Motors
DLR0018,Bentley Motors
DLR0019,Bitter Motors
DLR0020,BMW Motors
DLR0021,Bond Motors
DLR0022,Borgward (including Goliath and Lloyd) Motors
DLR0023,Bristol Motors
DLR0024,British Leyland Motors
DLR0025,Austin-Healey Motors
DLR0026,"Austin, Rover Motors"
DLR0027,Bugatti Motors
DLR0028,Buick Motors
DLR0029,Bytom Motors
DLR0030,Cadillac Motors
DLR0031,Caterham Motors
DLR0032,Checker Motors
DLR0033,Chevrolet Motors
DLR0034,Chevrolet India Motors
DLR0035,Chrysler Motors
DLR0036,Chrysler Europe Motors
DLR0037,Citroân Motors
DLR0038,Cizeta-Moroder Motors
DLR0039,Dacia Motors
DLR0040,"Daewoo, Saehan, Chevrolet Korea Motors"
DLR0041,DAF Motors
DLR0042,Daihatsu Motors
DLR0043,Daimler Motors
DLR0044,
DLR0045,Delahaye Motors
DLR0046,DeLorean Motors
DLR0047,DeSoto Motors
DLR0048,De Tomaso Motors
DLR0049,Dodge Motors
DLR0050,Donkervoort Motors
DLR0051,Edsel Motors
DLR0052,e.GO Mobile Motors
DLR0053,Eicher Polaris Motors
DLR0054,Elva Motors
DLR0055,Facel Vega Motors
DLR0056,Ferrari Motors
DLR0057,Fiat Motors
DLR0058,Fiat do Brasil Motors
DLR0059,Fiat India Motors
DLR0060,"Fisker, Karma Motors"
DLR0061,Ford America Motors
DLR0062,Ford Australia Motors
DLR0063,Ford do Brasil Motors
DLR0064,Ford Europe Motors
DLR0065,Ford India Motors
DLR0066,Freightliner Motors
DLR0067,FSO Motors
DLR0068,GAZ Motors
DLR0069,Geo Motors
DLR0070,Gilbern Motors
DLR0071,Ginetta Motors
