MODEL_ID,MODEL_CATEGORY
Acu-M59,Acu
Acu-M60,Acu
Acu-M61,Acu
Acu-M62,Acu
Acu-M63,Acu
Agr-M111,Agr
Agr-M112,Agr
Agr-M113,Agr
Aud-M227,Aud
Aud-M228,Aud
Aud-M229,Aud
Aud-M230,Aud
Aud-M231,Aud
Aud-M232,Aud
Aud-M233,Aud
Aud-M234,Aud
Aud-M235,Aud
Aud-M236,Aud
Aud-M237,Aud
Aud-M238,Aud
Aud-M239,Aud
Aud-M240,Aud
Aud-M241,Aud
BMW-M1,BMW
BMW-M2,BMW
BMW-M242,BMW
BMW-M243,BMW
BMW-M244,BMW
BMW-M245,BMW
BMW-M246,BMW
BMW-M247,BMW
BMW-M248,BMW
BMW-M249,BMW
BMW-M250,BMW
BMW-M3,BMW
BMW-M4,BMW
BMW-M5,BMW
Bui-M31,Bui
Cad-M32,Cad
Cad-M33,Cad
Cad-M34,Cad
Cad-M35,Cad
Cad-M36,Cad
Cad-M37,Cad
Cad-M38,Cad
Cad-M39,Cad
Che-M114,Che
Che-M40,Che
Che-M41,Che
Che-M42,Che
Che-M43,Che
Che-M44,Che
Che-M45,Che
Che-M46,Che
Che-M47,Che
Che-M48,Che
Che-M49,Che
Che-M50,Che
Che-M51,Che
Cit-M115,Cit
Cit-M116,Cit
Dod-M9,Dod
Fia-M117,Fia
Fia-M118,Fia
For-M119,For
For-M16,For
For-M17,For
For-M18,For
For-M19,For
For-M20,For
For-M21,For
For-M22,For
For-M221,For
For-M222,For
For-M223,For
For-M224,For
For-M225,For
For-M226,For
For-M23,For
For-M24,For
For-M25,For
For-M26,For
GMC-M52,GMC
GMC-M53,GMC
GMC-M54,GMC
GMC-M55,GMC
GMC-M56,GMC
GMC-M57,GMC
GMC-M58,GMC
Hon-M120,Hon
Hon-M215,Hon
Hon-M216,Hon
Hon-M217,Hon
Hon-M218,Hon
Hon-M219,Hon
Hon-M220,Hon
Hon-M64,Hon
Hon-M65,Hon
Hon-M66,Hon
Hon-M67,Hon
Hon-M68,Hon
Hon-M69,Hon
Hon-M70,Hon
Hon-M71,Hon
Hyu-M153,Hyu
Hyu-M154,Hyu
Hyu-M155,Hyu
Hyu-M156,Hyu
Hyu-M157,Hyu
Hyu-M158,Hyu
Hyu-M159,Hyu
Hyu-M160,Hyu
Hyu-M161,Hyu
Hyu-M162,Hyu
Hyu-M163,Hyu
Hyu-M164,Hyu
Hyu-M72,Hyu
Hyu-M73,Hyu
Hyu-M74,Hyu
Hyu-M75,Hyu
Inf-M79,Inf
Jee-M10,Jee
Jee-M11,Jee
Jee-M12,Jee
Jee-M13,Jee
Jee-M253,Jee
Jee-M254,Jee
Kia-M212,Kia
Kia-M213,Kia
Kia-M214,Kia
Kia-M76,Kia
Kia-M77,Kia
Kia-M78,Kia
Lex-M99,Lex
Lin-M27,Lin
Lin-M28,Lin
Lin-M29,Lin
Lin-M30,Lin
Mah-M165,Mah
Mah-M166,Mah
Mah-M167,Mah
Mah-M168,Mah
Mah-M169,Mah
Mah-M170,Mah
Mah-M171,Mah
Mah-M172,Mah
Mah-M173,Mah
Mah-M174,Mah
Mah-M175,Mah
Mah-M176,Mah
Mah-M177,Mah
Mah-M178,Mah
Mar-M137,Mar
Mar-M138,Mar
Mar-M139,Mar
Mar-M140,Mar
Mar-M141,Mar
Mar-M142,Mar
Mar-M143,Mar
Mar-M144,Mar
Mar-M145,Mar
Mar-M146,Mar
Mar-M147,Mar
Mar-M148,Mar
Mar-M149,Mar
Mar-M150,Mar
Mar-M151,Mar
Mar-M152,Mar
Mer-M121,Mer
Mer-M122,Mer
Mer-M123,Mer
Mer-M6,Mer
Mer-M7,Mer
Mer-M8,Mer
MG-M251,MG-
MG-M252,MG-
Mit-M275,Mit
Mit-M276,Mit
Mit-M277,Mit
Nis-M261,Nis
Nis-M262,Nis
Nis-M263,Nis
Nis-M264,Nis
Nis-M265,Nis
Nis-M266,Nis
Nis-M267,Nis
Nis-M268,Nis
Nis-M269,Nis
Nis-M270,Nis
Nis-M80,Nis
Nis-M81,Nis
Nis-M82,Nis
Nis-M83,Nis
Nis-M84,Nis
Nis-M85,Nis
Nis-M86,Nis
Nis-M87,Nis
Nis-M88,Nis
Nis-M89,Nis
Peu-M124,Peu
Peu-M125,Peu
Peu-M126,Peu
Ram-M14,Ram
Ram-M15,Ram
Ren-M127,Ren
Ren-M128,Ren
Ren-M129,Ren
Ren-M130,Ren
Ren-M131,Ren
Ren-M132,Ren
Ren-M207,Ren
Ren-M208,Ren
Ren-M209,Ren
Ren-M210,Ren
Ren-M211,Ren
Riv-M90,Riv
Riv-M91,Riv
Sko-M271,Sko
Sko-M272,Sko
Sko-M273,Sko
Sko-M274,Sko
Sub-M92,Sub
Sub-M93,Sub
Sub-M94,Sub
Sub-M95,Sub
Tat-M179,Tat
Tat-M180,Tat
Tat-M181,Tat
Tat-M182,Tat
Tat-M183,Tat
Tat-M184,Tat
Tat-M185,Tat
Tat-M186,Tat
Tat-M187,Tat
Tat-M188,Tat
Tat-M189,Tat
Tat-M190,Tat
Tat-M191,Tat
Tat-M192,Tat
Tat-M193,Tat
Tat-M194,Tat
Tes-M96,Tes
Tes-M97,Tes
Tes-M98,Tes
Toy-M100,Toy
Toy-M101,Toy
Toy-M102,Toy
Toy-M103,Toy
Toy-M104,Toy
Toy-M105,Toy
Toy-M106,Toy
Toy-M107,Toy
Toy-M133,Toy
Toy-M134,Toy
Toy-M195,Toy
Toy-M196,Toy
Toy-M197,Toy
Toy-M198,Toy
Toy-M199,Toy
Toy-M200,Toy
Toy-M201,Toy
Toy-M202,Toy
Toy-M203,Toy
Toy-M204,Toy
Toy-M205,Toy
Toy-M206,Toy
Vol-M108,Vol
Vol-M109,Vol
Vol-M110,Vol
Vol-M135,Vol
Vol-M136,Vol
Vol-M255,Vol
Vol-M256,Vol
Vol-M257,Vol
Vol-M258,Vol
Vol-M259,Vol
Vol-M260,Vol
